"TIME","CH1","CH2","CH3"
-1.0252e-02,-1.64,2.4,0.52
-1.0250e-02,-1.58,2.5,0.44
-1.0248e-02,-1.6,2.3,0.48
-1.0246e-02,-1.58,2.2,0.48
-1.0244e-02,-1.56,2.4,0.6
-1.0242e-02,-1.6,2.5,0.56
-1.0240e-02,-1.58,2.4,0.64
-1.0238e-02,-1.66,2.4,0.56
-1.0236e-02,-1.56,2.3,0.44
-1.0234e-02,-1.6,2.5,0.48
-1.0232e-02,-1.66,2.4,0.48
-1.0230e-02,-1.54,2.4,0.56
-1.0228e-02,-1.62,2.5,0.56
-1.0226e-02,-1.6,2.4,0.52
-1.0224e-02,-1.58,2.4,0.48
-1.0222e-02,-1.64,2.5,0.6
-1.0220e-02,-1.54,2.4,0.6
-1.0218e-02,-1.6,2.4,0.56
-1.0216e-02,-1.58,2.5,0.6
-1.0214e-02,-1.58,2.4,0.48
-1.0212e-02,-1.54,2.6,0.48
-1.0210e-02,-1.58,2.5,0.56
-1.0208e-02,-1.54,2.4,0.56
-1.0206e-02,-1.64,2.4,0.44
-1.0204e-02,-1.62,2.3,0.56
-1.0202e-02,-1.64,2.4,0.56
-1.0200e-02,-1.64,2.4,0.56
-1.0198e-02,-1.62,2.5,0.64
-1.0196e-02,-1.64,2.1,0.64
-1.0194e-02,-1.6,2.5,0.64
-1.0192e-02,-1.64,2.3,0.52
-1.0190e-02,-1.62,2.2,0.56
-1.0188e-02,-1.62,2.5,0.52
-1.0186e-02,-1.58,2.2,0.6
-1.0184e-02,-1.66,2.4,0.56
-1.0182e-02,-1.58,2.2,0.56
-1.0180e-02,-1.58,2.4,0.56
-1.0178e-02,-1.6,2.4,0.6
-1.0176e-02,-1.56,2.5,0.64
-1.0174e-02,-1.66,2.5,0.52
-1.0172e-02,-1.54,2.3,0.56
-1.0170e-02,-1.6,2.4,0.6
-1.0168e-02,-1.62,2.2,0.6
-1.0166e-02,-1.64,2.5,0.6
-1.0164e-02,-1.58,2.5,0.6
-1.0162e-02,-1.64,2.6,0.68
-1.0160e-02,-1.58,2.6,0.64
-1.0158e-02,-1.62,2.4,0.56
-1.0156e-02,-1.58,2.2,0.6
-1.0154e-02,-1.6,2.4,0.64
-1.0152e-02,-1.54,2.5,0.64
-1.0150e-02,-1.62,2.4,0.76
-1.0148e-02,-1.66,2.5,0.6
-1.0146e-02,-1.52,2.4,0.6
-1.0144e-02,-1.58,2.4,0.64
-1.0142e-02,-1.64,2.4,0.52
-1.0140e-02,-1.64,2.5,0.64
-1.0138e-02,-1.56,2.4,0.6
-1.0136e-02,-1.62,2.5,0.72
-1.0134e-02,-1.58,2.3,0.6
-1.0132e-02,-1.62,2.3,0.6
-1.0130e-02,-1.64,2.5,0.68
-1.0128e-02,-1.64,2.3,0.6
-1.0126e-02,-1.62,2.2,0.6
-1.0124e-02,-1.64,2.4,0.72
-1.0122e-02,-1.64,2.5,0.6
-1.0120e-02,-1.66,2.6,0.6
-1.0118e-02,-1.62,2.4,0.68
-1.0116e-02,-1.62,2.4,0.64
-1.0114e-02,-1.6,2.5,0.64
-1.0112e-02,-1.58,2.4,0.68
-1.0110e-02,-1.6,2.4,0.64
-1.0108e-02,-1.62,2.3,0.64
-1.0106e-02,-1.62,2.5,0.6
-1.0104e-02,-1.64,2.5,0.6
-1.0102e-02,-1.6,2.3,0.64
-1.0100e-02,-1.64,2.2,0.68
-1.0098e-02,-1.6,2.5,0.68
-1.0096e-02,-1.62,2.5,0.64
-1.0094e-02,-1.58,2.5,0.68
-1.0092e-02,-1.64,2.3,0.64
-1.0090e-02,-1.62,2.3,0.68
-1.0088e-02,-1.62,2.4,0.6
-1.0086e-02,-1.66,2.6,0.64
-1.0084e-02,-1.58,2.5,0.56
-1.0082e-02,-1.7,2.5,0.64
-1.0080e-02,-1.68,2.5,0.6
-1.0078e-02,-1.58,2.4,0.6
-1.0076e-02,-1.62,2.5,0.64
-1.0074e-02,-1.68,2.4,0.6
-1.0072e-02,-1.56,2.4,0.68
-1.0070e-02,-1.62,2.4,0.64
-1.0068e-02,-1.64,2.4,0.68
-1.0066e-02,-1.66,2.4,0.64
-1.0064e-02,-1.66,2.3,0.64
-1.0062e-02,-1.62,2.6,0.68
-1.0060e-02,-1.66,2.5,0.64
-1.0058e-02,-1.64,2.3,0.76
-1.0056e-02,-1.64,2.5,0.76
-1.0054e-02,-1.66,2.4,0.6
-1.0052e-02,-1.62,2.4,0.76
-1.0050e-02,-1.66,2.4,0.68
-1.0048e-02,-1.64,2.4,0.68
-1.0046e-02,-1.6,2.5,0.68
-1.0044e-02,-1.72,2.4,0.64
-1.0042e-02,-1.6,2.5,0.68
-1.0040e-02,-1.68,2.4,0.76
-1.0038e-02,-1.68,2.6,0.6
-1.0036e-02,-1.64,2.4,0.76
-1.0034e-02,-1.64,2.5,0.64
-1.0032e-02,-1.68,2.4,0.68
-1.0030e-02,-1.62,2.7,0.8
-1.0028e-02,-1.7,2.4,0.72
-1.0026e-02,-1.68,2.4,0.64
-1.0024e-02,-1.7,2.5,0.68
-1.0022e-02,-1.62,2.2,0.68
-1.0020e-02,-1.66,2.5,0.68
-1.0018e-02,-1.62,2.4,0.64
-1.0016e-02,-1.66,2.6,0.68
-1.0014e-02,-1.62,2.4,0.64
-1.0012e-02,-1.64,2.4,0.8
-1.0010e-02,-1.68,2.6,0.72
-1.0008e-02,-1.66,2.6,0.76
-1.0006e-02,-1.68,2.5,0.76
-1.0004e-02,-1.58,2.4,0.68
-1.0002e-02,-1.7,2.5,0.72
-1.000e-02,-1.66,2.4,0.72
-9.998e-03,-1.64,2.5,0.6
-9.996e-03,-1.66,2.4,0.64
-9.994e-03,-1.66,2.2,0.68
-9.992e-03,-1.7,2.4,0.64
-9.990e-03,-1.64,2.4,0.64
-9.988e-03,-1.68,2.2,0.72
-9.986e-03,-1.66,2.5,0.72
-9.984e-03,-1.7,2.5,0.68
-9.982e-03,-1.6,2.5,0.76
-9.980e-03,-1.7,2.5,0.72
-9.978e-03,-1.68,2.5,0.72
-9.976e-03,-1.62,2.5,0.68
-9.974e-03,-1.72,2.5,0.68
-9.972e-03,-1.68,2.5,0.72
-9.970e-03,-1.64,2.4,0.72
-9.968e-03,-1.72,2.6,0.64
-9.966e-03,-1.62,2.3,0.68
-9.964e-03,-1.68,2.5,0.64
-9.962e-03,-1.62,2.4,0.68
-9.960e-03,-1.68,2.5,0.72
-9.958e-03,-1.7,2.3,0.72
-9.956e-03,-1.66,2.4,0.84
-9.954e-03,-1.64,2.5,0.68
-9.952e-03,-1.72,2.4,0.68
-9.950e-03,-1.66,2.5,0.64
-9.948e-03,-1.66,2.6,0.76
-9.946e-03,-1.66,2.5,0.8
-9.944e-03,-1.62,2.4,0.68
-9.942e-03,-1.7,2.4,0.68
-9.940e-03,-1.62,2.5,0.72
-9.938e-03,-1.68,2.5,0.72
-9.936e-03,-1.66,2.5,0.72
-9.934e-03,-1.7,2.3,0.68
-9.932e-03,-1.68,2.5,0.8
-9.930e-03,-1.68,2.5,0.8
-9.928e-03,-1.68,2.4,0.68
-9.926e-03,-1.66,2.2,0.8
-9.924e-03,-1.7,2.3,0.76
-9.922e-03,-1.7,2.5,0.8
-9.920e-03,-1.68,2.4,0.68
-9.918e-03,-1.68,2.5,0.72
-9.916e-03,-1.68,2.5,0.8
-9.914e-03,-1.7,2.5,0.84
-9.912e-03,-1.7,2.5,0.76
-9.910e-03,-1.6,2.4,0.8
-9.908e-03,-1.7,2.4,0.84
-9.906e-03,-1.72,2.6,0.68
-9.904e-03,-1.64,2.4,0.8
-9.902e-03,-1.62,2.7,0.8
-9.900e-03,-1.68,2.6,0.8
-9.898e-03,-1.7,2.5,0.72
-9.896e-03,-1.62,2.3,0.76
-9.894e-03,-1.62,2.2,0.68
-9.892e-03,-1.64,2.4,0.72
-9.890e-03,-1.76,2.7,0.72
-9.888e-03,-1.66,2.4,0.76
-9.886e-03,-1.72,2.6,0.76
-9.884e-03,-1.68,2.5,0.76
-9.882e-03,-1.68,2.5,0.76
-9.880e-03,-1.7,2.4,0.8
-9.878e-03,-1.64,2.5,0.8
-9.876e-03,-1.68,2.5,0.72
-9.874e-03,-1.68,2.4,0.64
-9.872e-03,-1.68,2.5,0.84
-9.870e-03,-1.68,2.4,0.76
-9.868e-03,-1.68,2.3,0.72
-9.866e-03,-1.6,2.5,0.84
-9.864e-03,-1.68,2.5,0.76
-9.862e-03,-1.74,2.2,0.8
-9.860e-03,-1.7,2.2,0.88
-9.858e-03,-1.68,2.5,0.68
-9.856e-03,-1.7,2.4,0.8
-9.854e-03,-1.68,2.6,0.84
