"TIME","CH1","CH2","CH4"
-4.8560e+01,0.5294,0.332,1.2
-4.8550e+01,0.5318,0.3,1.4
-4.8540e+01,0.5296,0.316,1.4
-4.8530e+01,0.5314,0.312,1.4
-4.8520e+01,0.5298,0.332,1.4
-4.8510e+01,0.5326,0.336,1.4
-4.8500e+01,0.5304,0.308,1.4
-4.8490e+01,0.533,0.308,1.4
-4.8480e+01,0.531,0.308,1.4
-4.8470e+01,0.5316,0.316,1.4
-4.8460e+01,0.53,0.308,1.4
-4.8450e+01,0.5318,0.312,1.4
-4.8440e+01,0.5306,0.328,1.2
-4.8430e+01,0.5324,0.328,1.4
-4.8420e+01,0.5294,0.328,1.2
-4.8410e+01,0.5318,0.324,1
-4.8400e+01,0.5292,0.316,1.6
-4.8390e+01,0.5318,0.324,1.4
-4.8380e+01,0.5302,0.316,1.2
-4.8370e+01,0.5322,0.324,1.4
-4.8360e+01,0.5306,0.316,1.6
-4.8350e+01,0.5324,0.324,1.4
-4.8340e+01,0.5308,0.312,1.2
-4.8330e+01,0.5316,0.316,1.4
-4.8320e+01,0.5304,0.324,1.4
-4.8310e+01,0.5328,0.316,1.4
-4.8300e+01,0.5306,0.312,1.4
-4.8290e+01,0.5332,0.328,1.4
-4.8280e+01,0.5304,0.332,1.4
-4.8270e+01,0.5328,0.316,1.4
-4.8260e+01,0.5302,0.324,1.2
-4.8250e+01,0.5326,0.328,1.4
-4.8240e+01,0.5302,0.316,1.4
-4.8230e+01,0.5318,0.332,1.4
-4.8220e+01,0.5306,0.332,1.4
-4.8210e+01,0.5314,0.316,1.4
-4.8200e+01,0.5306,0.324,1.4
-4.8190e+01,0.5328,0.312,1.8
-4.8180e+01,0.5296,0.308,1.2
-4.8170e+01,0.5328,0.308,1.4
-4.8160e+01,0.5306,0.332,1.4
-4.8150e+01,0.5328,0.324,1.8
-4.8140e+01,0.5302,0.312,1.4
-4.8130e+01,0.5316,0.312,1.2
-4.8120e+01,0.5304,0.328,1.4
-4.8110e+01,0.5314,0.336,1
-4.8100e+01,0.5302,0.336,1.2
-4.8090e+01,0.5324,0.328,1.4
-4.8080e+01,0.531,0.336,1.2
-4.8070e+01,0.5318,0.32,1.4
-4.8060e+01,0.5298,0.308,1.2
-4.8050e+01,0.532,0.328,1.4
-4.8040e+01,0.5306,0.312,1.4
-4.8030e+01,0.5332,0.324,1.6
-4.8020e+01,0.5304,0.32,1.4
-4.8010e+01,0.533,0.316,1
-4.8000e+01,0.5302,0.324,1.4
-4.7990e+01,0.5322,0.328,1.4
-4.7980e+01,0.53,0.312,1.6
-4.7970e+01,0.5322,0.316,1.2
-4.7960e+01,0.5308,0.324,1.4
-4.7950e+01,0.5312,0.324,1.4
-4.7940e+01,0.5306,0.32,1.6
-4.7930e+01,0.5318,0.324,1.2
-4.7920e+01,0.5296,0.316,1.4
-4.7910e+01,0.532,0.324,1.8
-4.7900e+01,0.5306,0.336,1.4
-4.7890e+01,0.5308,0.324,1.4
-4.7880e+01,0.5308,0.312,1.4
-4.7870e+01,0.5314,0.32,1.4
-4.7860e+01,0.5292,0.32,1.6
-4.7850e+01,0.532,0.328,1.4
-4.7840e+01,0.5296,0.32,1.4
-4.7830e+01,0.5314,0.324,1.4
-4.7820e+01,0.5302,0.312,1.4
-4.7810e+01,0.5324,0.328,1.4
-4.7800e+01,0.5294,0.324,1.4
-4.7790e+01,0.5316,0.324,1.8
-4.7780e+01,0.5286,0.308,1.4
-4.7770e+01,0.531,0.32,1.4
-4.7760e+01,0.529,0.324,1.4
-4.7750e+01,0.5308,0.324,1.4
-4.7740e+01,0.5292,0.316,1.4
-4.7730e+01,0.5308,0.32,1.8
-4.7720e+01,0.5292,0.308,1.4
-4.7710e+01,0.5304,0.324,1.4
-4.7700e+01,0.5296,0.324,1.2
-4.7690e+01,0.5306,0.312,1.4
-4.7680e+01,0.5296,0.316,1.2
-4.7670e+01,0.5314,0.328,1.4
-4.7660e+01,0.5292,0.32,1.2
-4.7650e+01,0.5314,0.308,1.2
-4.7640e+01,0.5292,0.316,1.4
-4.7630e+01,0.5312,0.328,1.8
-4.7620e+01,0.5274,0.324,1.8
-4.7610e+01,0.531,0.32,1.4
-4.7600e+01,0.529,0.316,1.4
-4.7590e+01,0.5314,0.308,1.4
-4.7580e+01,0.5298,0.332,1.2
-4.7570e+01,0.5312,0.316,1.2
-4.7560e+01,0.529,0.324,1.4
-4.7550e+01,0.531,0.308,1.4
